name,price,link
ACI Pure Chinigura Rice 2kg,"৳310
৳290
  Per Piece",https://www.shwapno.com/aci-pure-chinigura-rice-2kg
ACI Pure Chinigura Rice 2kg,"৳310
৳290
  Per Piece",https://www.shwapno.com/aci-pure-chinigura-rice-2kg
ACI Pure Miniket (Jirashail) Rice 10kg,"৳950
  Per Piece",https://www.shwapno.com/aci-pure-miniket-rice-10kg-poly
ACI Pure Miniket (Jirashail) Rice 10kg,"৳950
  Per Piece",https://www.shwapno.com/aci-pure-miniket-rice-10kg-poly
Shwapno Rice Flour 1kg,"৳95
৳85
  Per Piece",https://www.shwapno.com/shwapno-premium-rice-flour-1kg
Shwapno Rice Flour 1kg,"৳95
৳85
  Per Piece",https://www.shwapno.com/shwapno-premium-rice-flour-1kg
Cerelac Rice & Milk 400(±)50gm (BIB),"৳400
  Per Piece",https://www.shwapno.com/cerelac-rice-and-milk-40050gm-bib
Cerelac Rice & Milk 400(±)50gm (BIB),"৳400
  Per Piece",https://www.shwapno.com/cerelac-rice-and-milk-40050gm-bib
Cerelac Rice & Potato with Chicken 400(±)50gm,"৳480
  Per Piece",https://www.shwapno.com/cerelac-rice-and-potato-with-chicken-40050gm
Cerelac Rice & Potato with Chicken 400(±)50gm,"৳480
  Per Piece",https://www.shwapno.com/cerelac-rice-and-potato-with-chicken-40050gm
Nazirshail Rice Loose (S) (Paijam),"৳66
৳63
  Per 1kg
  ❨Min. 0.50kg ❩",https://www.shwapno.com/nazirshail-rice-loose-p-paijam
Nazirshail Rice Loose (S) (Paijam),"৳66
৳63
  Per 1kg
  ❨Min. 0.50kg ❩",https://www.shwapno.com/nazirshail-rice-loose-p-paijam
Miniket Rice Loose(S) (BRRI-28),"৳66
৳63
  Per 1kg
  ❨Min. 0.50kg ❩",https://www.shwapno.com/miniket-rice-loose-s-brri-28
Miniket Rice Loose(S) (BRRI-28),"৳66
৳63
  Per 1kg
  ❨Min. 0.50kg ❩",https://www.shwapno.com/miniket-rice-loose-s-brri-28
Nazirshail Rice Loose (P) (Sompa Katari),"৳82
  Per 1kg
  ❨Min. 0.50kg ❩",https://www.shwapno.com/nazirshail-rice-loose-p-sompa-katari
Nazirshail Rice Loose (P) (Sompa Katari),"৳82
  Per 1kg
  ❨Min. 0.50kg ❩",https://www.shwapno.com/nazirshail-rice-loose-p-sompa-katari
Haiko Rice Flour 1000gm,"৳90
  Per Piece",https://www.shwapno.com/haiko-rice-flour-1000-gm
Haiko Rice Flour 1000gm,"৳90
  Per Piece",https://www.shwapno.com/haiko-rice-flour-1000-gm
Kalijira Rice Loose - Premium Kg,"৳130
  Per 1kg
  ❨Min. 0.50kg ❩",https://www.shwapno.com/kalijira-rice-loose-premium-11
Kalijira Rice Loose - Premium Kg,"৳130
  Per 1kg
  ❨Min. 0.50kg ❩",https://www.shwapno.com/kalijira-rice-loose-premium-11
Chinigura Rice Loose (P) (BRRI-34),"৳150
৳140
  Per 1kg
  ❨Min. 0.50kg ❩",https://www.shwapno.com/chinigura-rice-loose-p-brri-34
Chinigura Rice Loose (P) (BRRI-34),"৳150
৳140
  Per 1kg
  ❨Min. 0.50kg ❩",https://www.shwapno.com/chinigura-rice-loose-p-brri-34
Fortune Rice Bran Oil 1Ltr. (Pet),"৳225
  Per Piece",https://www.shwapno.com/fortune-rice-bran-oil-pet-1-liter
Fortune Rice Bran Oil 1Ltr. (Pet),"৳225
  Per Piece",https://www.shwapno.com/fortune-rice-bran-oil-pet-1-liter
Basmati Rice Loose - Premium Kg,"৳290
  Per 1kg
  ❨Min. 0.50kg ❩",https://www.shwapno.com/basmati-rice-loose-p-2
Basmati Rice Loose - Premium Kg,"৳290
  Per 1kg
  ❨Min. 0.50kg ❩",https://www.shwapno.com/basmati-rice-loose-p-2
